Sample,TVOC,eCO2
0,0,400
1,0,400
2,0,400
3,0,400
4,0,400
5,0,400
6,0,400
7,0,400
8,0,400
9,0,400
10,0,400
11,0,400
12,0,400
13,0,400
14,0,400
15,60000,57330
16,60000,57330
17,60000,57330
18,60000,57330
19,60000,57330
20,60000,57330
21,60000,57330
22,60000,57330
23,60000,57330
24,60000,57330
25,60000,57330
26,60000,57330
27,60000,57330
28,60000,57330
29,60000,57330
30,60000,57330
31,60000,57330
32,60000,57330
33,60000,57330
34,60000,57330
35,60000,57330
36,60000,57330
37,60000,57330
38,60000,57330
39,60000,57330
40,60000,57330
41,60000,57330
42,60000,57330
43,60000,57330
44,60000,57330
45,60000,57330
46,60000,57330
47,60000,57330
48,60000,57330
49,60000,57330
50,60000,57330
51,60000,57330
52,60000,57330
53,60000,57330
54,60000,57330
55,60000,57330
56,60000,57330
57,60000,57330
58,60000,57330
59,60000,57330
60,60000,57330
61,60000,57330
62,60000,57330
63,60000,57330
64,60000,57330
65,60000,57330
66,60000,57330
67,60000,57330
68,60000,57330
69,60000,57330
70,60000,57330
71,60000,57330
72,60000,57330
73,60000,57330
74,60000,57330
75,60000,57330
76,60000,57330
77,60000,57330
78,60000,57330
79,60000,57330
80,60000,57330
81,60000,57330
82,60000,57330
83,60000,57330
84,60000,57330
85,60000,57330
86,60000,57330
87,60000,57330
88,60000,57330
89,60000,57330
90,60000,57330
91,60000,57330
92,60000,57330
93,60000,57330
94,60000,57330
95,60000,57330
96,60000,57330
97,60000,57330
98,59895,57330
99,58954,57330
100,57804,57330
101,57037,57330
102,56863,57330
103,57351,57330
104,57699,57330
105,57874,57330
106,58153,57330
107,58606,57330
108,58850,57330
109,58536,57330
110,58606,57330
111,58989,57330
112,58850,57330
113,58466,57330
114,58641,57330
115,58362,57330
116,57560,57330
117,57037,57330
118,56584,57330
119,56201,57330
120,55085,57330
121,54737,57270
122,55085,57121
123,54806,57241
124,54597,57330
125,54423,57032
126,54388,56882
127,54388,57091
128,54458,57330
129,54841,57330
130,55120,57330
131,54702,57330
132,55015,57330
133,55329,57330
134,55050,57330
135,55678,57330
136,55434,57330
137,54458,57330
138,54632,57330
139,53063,57330
140,53447,57330
141,53621,57330
142,53900,57330
143,54144,57330
144,54388,57330
145,53900,57330
146,54109,57330
147,54109,57330
148,54283,57330
149,53900,57330
150,54144,57330
151,54388,57330
152,54249,57330
153,53970,57330
154,54423,57330
155,53726,57330
156,52819,57330
157,53307,57270
158,51251,55152
159,50519,53183
160,50519,51273
161,50205,51393
162,50902,51393
163,51530,53272
164,52053,55629
165,51286,55450
166,51425,55242
167,51216,54973
168,51321,55212
169,51146,55092
170,50763,54555
171,51355,54943
172,50833,55212
173,51146,54973
174,50623,55242
175,50798,55242
176,51286,55212
177,51216,54705
178,51216,54884
179,50833,54108
180,50658,53780
181,50066,53750
182,50135,52944
183,49717,53123
184,49752,52198
185,49194,51303
186,49090,50468
187,48776,50140
188,48149,49394
189,48358,49603
190,48149,49901
191,48671,50438
192,48288,50140
193,48114,50199
194,48741,50677
195,48427,50468
196,48183,50587
197,48567,50378
198,47347,50378
199,47765,50050
200,47451,48529
201,47277,47783
202,46301,47156
203,46580,46828
204,46441,47544
205,47138,48171
206,46894,48230
207,47138,47813
208,46929,47365
209,46266,47395
210,46998,47365
211,46894,47872
212,46406,48111
213,46231,48141
214,46894,47723
215,45778,47276
216,45569,46351
217,45674,46142
218,45081,46351
219,45499,46947
220,45674,47365
221,45604,47514
222,46127,47365
223,44628,46768
224,44802,45814
225,44628,44650
226,44454,43815
227,43966,43427
228,44349,44173
229,43966,44352
230,44837,45217
231,44907,46500
232,45011,46172
233,44733,46798
234,45255,46619
235,45151,46381
236,44977,46739
237,44802,46202
238,44977,46500
239,44140,46261
240,44279,45903
241,44523,45665
242,43931,44471
243,43059,43278
244,42781,43308
245,43199,42950
246,42955,43099
247,43094,43278
248,43443,43457
249,42606,43606
250,43199,43934
251,43025,43308
252,42920,43129
253,42641,43397
254,42815,42711
255,42432,42502
256,42223,42472
257,42014,41786
258,41874,41547
259,41665,41398
260,41805,41338
261,41839,41756
262,41561,41040
263,41735,41517
264,41561,41696
265,41630,41428
266,41561,41040
267,41630,40921
268,40898,41130
269,41421,41189
270,41282,41159
271,41177,41279
272,41247,41517
273,40933,41488
274,40585,41189
275,40515,40533
276,40724,40473
277,41107,40742
278,40829,39757
279,40201,39697
280,39748,38444
281,39086,36863
282,39086,37042
283,38110,35222
284,37413,33522
285,37238,32865
286,37099,32269
287,37308,32835
288,37726,33909
289,38005,34685
290,38458,35789
291,38528,36863
292,38737,37042
293,38946,37430
294,38319,36833
295,38528,36058
296,38145,35789
297,37482,35371
298,37796,34745
299,37935,35312
300,37761,35789
301,37761,35879
302,38145,36475
303,37935,36565
304,37796,36565
305,37761,36058
306,38354,36654
307,37831,36565
308,37622,36445
309,37482,36595
310,37413,36416
311,37169,36505
312,37552,36237
313,37029,35849
314,36959,35013
315,36925,34655
316,35565,33522
317,35495,32806
318,34728,31761
319,34624,30449
320,35147,30866
321,34973,31016
322,35251,32000
323,35739,33014
324,36297,33313
325,35530,33283
326,35530,33074
327,35042,32507
328,34624,31433
329,34171,30359
330,33160,28541
331,31661,26943
332,30894,26115
333,30546,25468
334,29883,25206
335,30615,25192
336,30023,25605
337,31103,26198
338,31487,26681
339,31626,27204
340,31800,27563
341,32498,28169
342,32637,28280
343,32184,28555
344,32637,28500
345,32044,28376
346,32044,28128
347,31557,28045
348,31452,27825
349,30546,27177
