Sample,TVOC,eCO2
236,228149\t139\t4
237,229199\t143\t4
238,230250\t145\t4
239,231300\t143\t4
240,232350\t147\t4
241,233401\t145\t4
242,234451\t142\t4
243,235502\t141\t4
244,236553\t139\t4
245,237602\t143\t4
246,238653\t138\t4
247,239704\t145\t4
248,240754\t147\t4
"249,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"250,Valores seteados"
251,241827\t140\t4
252,242878\t148\t4
253,243929\t144\t4
254,244979\t145\t4
255,246030\t146\t4
256,247079\t142\t4
257,248130\t146\t4
258,249181\t144\t4
259,250231\t141\t4
260,251282\t145\t4
261,252333\t148\t4
262,253383\t144\t4
263,254433\t144\t4
264,255483\t140\t4
265,256534\t145\t4
266,257585\t141\t4
267,258635\t146\t4
268,259686\t144\t4
269,260736\t136\t4
270,261786\t142\t4
271,262837\t144\t4
272,263887\t146\t4
273,264938\t146\t4
274,265989\t141\t4
275,267039\t141\t4
276,268089\t142\t4
277,269139\t142\t4
278,270190\t144\t4
"279,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"280,Valores seteados"
281,271263\t144\t4
282,272314\t141\t4
283,273364\t140\t4
284,274415\t136\t4
285,275466\t144\t4
286,276516\t144\t4
287,277566\t141\t4
288,278617\t135\t4
289,279667\t141\t4
290,280718\t136\t4
291,281768\t141\t4
292,282819\t141\t4
293,283869\t135\t4
294,284919\t145\t4
295,285970\t137\t4
296,287021\t136\t4
297,288071\t143\t4
298,289122\t142\t4
299,290172\t139\t4
300,291222\t139\t4
301,292273\t134\t4
302,293323\t137\t4
303,294374\t143\t4
304,295425\t137\t4
305,296475\t137\t4
306,297526\t133\t4
307,298575\t137\t4
308,299626\t134\t4
309,300677\t136\t4
"310,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"311,Valores seteados"
312,301750\t142\t4
313,302800\t139\t4
314,303851\t137\t4
315,304902\t140\t4
316,305952\t134\t4
317,307002\t138\t4
318,308052\t139\t4
319,309103\t137\t4
320,310154\t134\t4
321,311204\t140\t4
322,312255\t136\t4
323,313306\t135\t4
324,314355\t134\t4
325,315406\t132\t4
326,316456\t136\t4
327,317507\t134\t4
328,318558\t137\t4
329,319608\t132\t4
330,320659\t139\t4
331,321709\t134\t4
332,322759\t138\t4
333,323810\t137\t4
334,324860\t135\t4
335,325911\t136\t4
336,326962\t134\t4
337,328011\t144\t4
338,329062\t138\t4
339,330113\t136\t4
"340,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"341,Valores seteados"
342,331186\t140\t4
343,332236\t135\t4
344,333287\t133\t4
345,334338\t136\t4
346,335388\t138\t4
347,336439\t141\t4
348,337488\t139\t4
349,338539\t139\t4
