Sample,TVOC,eCO2
"103,TVOC 60000 ppb\teCO2 57330 ppm"
"104,Raw H2 11202 \tRaw Ethanol 16412"
"105,TVOC 60000 ppb\teCO2 57330 ppm"
"106,Raw H2 11207 \tRaw Ethanol 16401"
"107,TVOC 60000 ppb\teCO2 57330 ppm"
"108,Raw H2 11199 \tRaw Ethanol 16398"
"109,TVOC 60000 ppb\teCO2 57330 ppm"
"110,Raw H2 11199 \tRaw Ethanol 16392"
"111,TVOC 60000 ppb\teCO2 57330 ppm"
"112,Raw H2 11193 \tRaw Ethanol 16384"
"113,TVOC 60000 ppb\teCO2 57330 ppm"
"114,Raw H2 11184 \tRaw Ethanol 16383"
"115,TVOC 60000 ppb\teCO2 57330 ppm"
"116,Raw H2 11180 \tRaw Ethanol 16379"
"117,TVOC 60000 ppb\teCO2 57330 ppm"
"118,Raw H2 11173 \tRaw Ethanol 16371"
"119,TVOC 60000 ppb\teCO2 57330 ppm"
"120,Raw H2 11175 \tRaw Ethanol 16369"
"121,TVOC 60000 ppb\teCO2 57330 ppm"
"122,Raw H2 11172 \tRaw Ethanol 16364"
"123,TVOC 60000 ppb\teCO2 57330 ppm"
"124,Raw H2 11164 \tRaw Ethanol 16356"
"125,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"126,TVOC 60000 ppb\teCO2 57330 ppm"
"127,Raw H2 11166 \tRaw Ethanol 16352"
"128,TVOC 60000 ppb\teCO2 57330 ppm"
"129,Raw H2 11163 \tRaw Ethanol 16343"
"130,TVOC 60000 ppb\teCO2 57330 ppm"
"131,Raw H2 11158 \tRaw Ethanol 16339"
"132,TVOC 60000 ppb\teCO2 57330 ppm"
"133,Raw H2 11156 \tRaw Ethanol 16337"
"134,TVOC 60000 ppb\teCO2 57330 ppm"
"135,Raw H2 11156 \tRaw Ethanol 16332"
"136,TVOC 60000 ppb\teCO2 57330 ppm"
"137,Raw H2 11153 \tRaw Ethanol 16329"
"138,TVOC 60000 ppb\teCO2 57330 ppm"
"139,Raw H2 11148 \tRaw Ethanol 16324"
"140,TVOC 60000 ppb\teCO2 57330 ppm"
"141,Raw H2 11147 \tRaw Ethanol 16313"
"142,TVOC 60000 ppb\teCO2 57330 ppm"
"143,Raw H2 11142 \tRaw Ethanol 16312"
"144,TVOC 60000 ppb\teCO2 57330 ppm"
"145,Raw H2 11134 \tRaw Ethanol 16309"
"146,TVOC 60000 ppb\teCO2 57330 ppm"
"147,Raw H2 11138 \tRaw Ethanol 16300"
"148,TVOC 60000 ppb\teCO2 57330 ppm"
"149,Raw H2 11131 \tRaw Ethanol 16298"
"150,TVOC 60000 ppb\teCO2 57330 ppm"
"151,Raw H2 11125 \tRaw Ethanol 16298"
"152,TVOC 60000 ppb\teCO2 57330 ppm"
"153,Raw H2 11128 \tRaw Ethanol 16291"
"154,TVOC 60000 ppb\teCO2 57330 ppm"
"155,Raw H2 11120 \tRaw Ethanol 16293"
"156,TVOC 60000 ppb\teCO2 57330 ppm"
"157,Raw H2 11120 \tRaw Ethanol 16275"
"158,TVOC 60000 ppb\teCO2 57330 ppm"
"159,Raw H2 11114 \tRaw Ethanol 16278"
"160,TVOC 60000 ppb\teCO2 57330 ppm"
"161,Raw H2 11117 \tRaw Ethanol 16271"
"162,TVOC 60000 ppb\teCO2 57330 ppm"
"163,Raw H2 11114 \tRaw Ethanol 16274"
"164,TVOC 60000 ppb\teCO2 57330 ppm"
"165,Raw H2 11119 \tRaw Ethanol 16269"
"166,TVOC 60000 ppb\teCO2 57330 ppm"
"167,Raw H2 11117 \tRaw Ethanol 16268"
"168,TVOC 60000 ppb\teCO2 57330 ppm"
"169,Raw H2 11109 \tRaw Ethanol 16268"
"170,TVOC 60000 ppb\teCO2 57330 ppm"
"171,Raw H2 11103 \tRaw Ethanol 16256"
"172,TVOC 60000 ppb\teCO2 57330 ppm"
"173,Raw H2 11108 \tRaw Ethanol 16260"
"174,TVOC 60000 ppb\teCO2 57330 ppm"
"175,Raw H2 11105 \tRaw Ethanol 16252"
"176,TVOC 60000 ppb\teCO2 57330 ppm"
"177,Raw H2 11101 \tRaw Ethanol 16245"
"178,TVOC 60000 ppb\teCO2 57330 ppm"
"179,Raw H2 11097 \tRaw Ethanol 16240"
"180,TVOC 60000 ppb\teCO2 57330 ppm"
"181,Raw H2 11095 \tRaw Ethanol 16243"
"182,TVOC 60000 ppb\teCO2 57330 ppm"
"183,Raw H2 11095 \tRaw Ethanol 16234"
"184,TVOC 60000 ppb\teCO2 57330 ppm"
"185,Raw H2 11092 \tRaw Ethanol 16237"
"186,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"187,TVOC 60000 ppb\teCO2 57330 ppm"
"188,Raw H2 11100 \tRaw Ethanol 16227"
"189,TVOC 60000 ppb\teCO2 57330 ppm"
"190,Raw H2 11095 \tRaw Ethanol 16235"
"191,TVOC 60000 ppb\teCO2 57330 ppm"
"192,Raw H2 11092 \tRaw Ethanol 16226"
"193,TVOC 60000 ppb\teCO2 57330 ppm"
"194,Raw H2 11089 \tRaw Ethanol 16220"
"195,TVOC 60000 ppb\teCO2 57330 ppm"
"196,Raw H2 11091 \tRaw Ethanol 16216"
"197,TVOC 60000 ppb\teCO2 57330 ppm"
"198,Raw H2 11087 \tRaw Ethanol 16223"
"199,TVOC 60000 ppb\teCO2 57330 ppm"
"200,Raw H2 11092 \tRaw Ethanol 16220"
"201,TVOC 60000 ppb\teCO2 57330 ppm"
"202,Raw H2 11087 \tRaw Ethanol 16211"
"203,TVOC 60000 ppb\teCO2 57330 ppm"
"204,Raw H2 11089 \tRaw Ethanol 16211"
"205,TVOC 60000 ppb\teCO2 57330 ppm"
"206,Raw H2 11087 \tRaw Ethanol 16202"
"207,TVOC 60000 ppb\teCO2 57330 ppm"
"208,Raw H2 11088 \tRaw Ethanol 16208"
"209,TVOC 60000 ppb\teCO2 57330 ppm"
"210,Raw H2 11087 \tRaw Ethanol 16206"
"211,TVOC 60000 ppb\teCO2 57330 ppm"
"212,Raw H2 11084 \tRaw Ethanol 16199"
"213,TVOC 60000 ppb\teCO2 57330 ppm"
"214,Raw H2 11074 \tRaw Ethanol 16200"
"215,TVOC 60000 ppb\teCO2 57330 ppm"
"216,Raw H2 11076 \tRaw Ethanol 16195"
"217,TVOC 60000 ppb\teCO2 57330 ppm"
"218,Raw H2 11072 \tRaw Ethanol 16189"
"219,TVOC 60000 ppb\teCO2 57330 ppm"
"220,Raw H2 11073 \tRaw Ethanol 16187"
"221,TVOC 60000 ppb\teCO2 57330 ppm"
"222,Raw H2 11074 \tRaw Ethanol 16187"
"223,TVOC 60000 ppb\teCO2 57330 ppm"
"224,Raw H2 11070 \tRaw Ethanol 16183"
"225,TVOC 60000 ppb\teCO2 57330 ppm"
"226,Raw H2 11069 \tRaw Ethanol 16175"
"227,TVOC 60000 ppb\teCO2 57330 ppm"
"228,Raw H2 11066 \tRaw Ethanol 16178"
"229,TVOC 60000 ppb\teCO2 57330 ppm"
"230,Raw H2 11066 \tRaw Ethanol 16173"
"231,TVOC 60000 ppb\teCO2 57330 ppm"
"232,Raw H2 11063 \tRaw Ethanol 16171"
"233,TVOC 60000 ppb\teCO2 57330 ppm"
"234,Raw H2 11065 \tRaw Ethanol 16170"
"235,TVOC 60000 ppb\teCO2 57330 ppm"
"236,Raw H2 11064 \tRaw Ethanol 16167"
"237,TVOC 60000 ppb\teCO2 57330 ppm"
"238,Raw H2 11060 \tRaw Ethanol 16167"
"239,TVOC 60000 ppb\teCO2 57330 ppm"
"240,Raw H2 11062 \tRaw Ethanol 16161"
"241,TVOC 60000 ppb\teCO2 57330 ppm"
"242,Raw H2 11055 \tRaw Ethanol 16163"
"243,TVOC 60000 ppb\teCO2 57330 ppm"
"244,Raw H2 11057 \tRaw Ethanol 16156"
"245,TVOC 60000 ppb\teCO2 57330 ppm"
"246,Raw H2 11057 \tRaw Ethanol 16159"
"247,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"248,TVOC 60000 ppb\teCO2 57330 ppm"
"249,Raw H2 11046 \tRaw Ethanol 16154"
"250,TVOC 60000 ppb\teCO2 57330 ppm"
"251,Raol 16017"
"252,TVOC 60000 ppb\teCO2 57330 ppm"
"253,Raw H2 11000 \tRaw Ethanol 16015"
"254,TVOC 60000 ppb\teCO2 57330 ppm"
"255,Raw H2 11009 \tRaw Ethanol 16017"
"256,TVOC 60000 ppb\teCO2 57330 ppm"
"257,Raw H2 11000 \tRaw Ethanol 16015"
"258,TVOC 60000 ppb\teCO2 57330 ppm"
"259,Raw H2 11003 \tRaw Ethanol 16018"
"260,TVOC 60000 ppb\teCO2 57330 ppm"
"261,Raw H2 11004 \tRaw Ethanol 16006"
"262,TVOC 60000 ppb\teCO2 57330 ppm"
"263,Raw H2 10997 \tRaw Ethanol 16009"
"264,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"265,TVOC 60000 ppb\teCO2 57330 ppm"
"266,Raw H2 11001 \tRaw Ethanol 16003"
"267,TVOC 60000 ppb\teCO2 57330 ppm"
"268,Raw H2 10998 \tRaw Ethanol 16003"
"269,TVOC 60000 ppb\teCO2 57330 ppm"
"270,Raw H2 11001 \tRaw Ethanol 16004"
"271,TVOC 60000 ppb\teCO2 57330 ppm"
"272,Raw H2 11000 \tRaw Ethanol 16007"
"273,TVOC 60000 ppb\teCO2 57330 ppm"
"274,Raw H2 10998 \tRaw Ethanol 16001"
"275,TVOC 60000 ppb\teCO2 57330 ppm"
"276,Raw H2 11001 \tRaw Ethanol 16005"
"277,TVOC 60000 ppb\teCO2 57330 ppm"
"278,Raw H2 11001 \tRaw Ethanol 15998"
"279,TVOC 60000 ppb\teCO2 57330 ppm"
"280,Raw H2 10993 \tRaw Ethanol 15996"
"281,TVOC 60000 ppb\teCO2 57330 ppm"
"282,Raw H2 10997 \tRaw Ethanol 16002"
"283,TVOC 60000 ppb\teCO2 57330 ppm"
"284,Raw H2 11000 \tRaw Ethanol 16004"
"285,TVOC 60000 ppb\teCO2 57330 ppm"
"286,Raw H2 10992 \tRaw Ethanol 16001"
"287,TVOC 60000 ppb\teCO2 57330 ppm"
"288,Raw H2 10993 \tRaw Ethanol 16001"
"289,TVOC 60000 ppb\teCO2 57330 ppm"
"290,Raw H2 10992 \tRaw Ethanol 15998"
"291,TVOC 60000 ppb\teCO2 57330 ppm"
"292,Raw H2 10993 \tRaw Ethanol 15997"
"293,TVOC 60000 ppb\teCO2 57330 ppm"
"294,Raw H2 10990 \tRaw Ethanol 15999"
"295,TVOC 60000 ppb\teCO2 57330 ppm"
"296,Raw H2 10992 \tRaw Ethanol 16000"
"297,TVOC 60000 ppb\teCO2 57330 ppm"
"298,Raw H2 10989 \tRaw Ethanol 15998"
"299,TVOC 60000 ppb\teCO2 57330 ppm"
"300,Raw H2 10997 \tRaw Ethanol 15993"
"301,TVOC 60000 ppb\teCO2 57330 ppm"
"302,Raw H2 10994 \tRaw Ethanol 16002"
"303,TVOC 60000 ppb\teCO2 57330 ppm"
"304,Raw H2 11000 \tRaw Ethanol 15994"
"305,TVOC 60000 ppb\teCO2 57330 ppm"
"306,Raw H2 10997 \tRaw Ethanol 15990"
"307,TVOC 60000 ppb\teCO2 57330 ppm"
"308,Raw H2 11000 \tRaw Ethanol 15995"
"309,TVOC 60000 ppb\teCO2 57330 ppm"
"310,Raw H2 10994 \tRaw Ethanol 15993"
"311,TVOC 60000 ppb\teCO2 57330 ppm"
"312,Raw H2 10998 \tRaw Ethanol 15991"
"313,TVOC 60000 ppb\teCO2 57330 ppm"
"314,Raw H2 11000 \tRaw Ethanol 15995"
"315,TVOC 60000 ppb\teCO2 57330 ppm"
"316,Raw H2 10994 \tRaw Ethanol 15992"
"317,TVOC 60000 ppb\teCO2 57330 ppm"
"318,Raw H2 10999 \tRaw Ethanol 15992"
"319,TVOC 60000 ppb\teCO2 57330 ppm"
"320,Raw H2 11002 \tRaw Ethanol 15992"
"321,TVOC 60000 ppb\teCO2 57330 ppm"
"322,Raw H2 11004 \tRaw Ethanol 15988"
"323,TVOC 60000 ppb\teCO2 57330 ppm"
"324,Raw H2 11000 \tRaw Ethanol 15998"
"325,****Baseline values: eCO2: 0x95B6 & TVOC: 0x93F1"
"326,TVOC 60000 ppb\teCO2 57330 ppm"
"327,Raw H2 10997 \tRaw Ethanol 15988"
"328,TVOC 60000 ppb\teCO2 57330 ppm"
"329,Raw H2 11000 \tRaw Ethanol 15992"
