b'400\r\n'
"b'114543 \t 166 \t \t 400\r\n'"
"b'115594 \t 167 \t \t 400\r\n'"
"b'116644 \t 165 \t \t 400\r\n'"
"b'117695 \t 164 \t \t 400\r\n'"
"b'118746 \t 162 \t \t 400\r\n'"
"b'119796 \t 161 \t \t 400\r\n'"
"b'120847 \t 158 \t \t 400\r\n'"
"b'121897 \t 161 \t \t 400\r\n'"
"b'122947 \t 153 \t \t 400\r\n'"
"b'123998 \t 154 \t \t 400\r\n'"
"b'125048 \t 157 \t \t 400\r\n'"
"b'126099 \t 157 \t \t 400\r\n'"
"b'127150 \t 150 \t \t 400\r\n'"
"b'128200 \t 152 \t \t 400\r\n'"
"b'129251 \t 154 \t \t 400\r\n'"
"b'130301 \t 157 \t \t 400\r\n'"
"b'131352 \t 159 \t \t 400\r\n'"
"b'132402 \t 155 \t \t 400\r\n'"
"b'133452 \t 155 \t \t 400\r\n'"
"b'134503 \t 153 \t \t 400\r\n'"
"b'135554 \t 156 \t \t 400\r\n'"
"b'136604 \t 155 \t \t 400\r\n'"
"b'137655 \t 153 \t \t 400\r\n'"
"b'138705 \t 154 \t \t 400\r\n'"
"b'139756 \t 157 \t \t 400\r\n'"
"b'140807 \t 149 \t \t 400\r\n'"
"b'141857 \t 149 \t \t 400\r\n'"
"b'142907 \t 152 \t \t 400\r\n'"
"b'143958 \t 153 \t \t 400\r\n'"
"b'145008 \t 146 \t \t 400\r\n'"
"b'146059 \t 153 \t \t 400\r\n'"
"b'147109 \t 152 \t \t 400\r\n'"
"b'148160 \t 148 \t \t 400\r\n'"
"b'149211 \t 152 \t \t 400\r\n'"
"b'150261 \t 153 \t \t 400\r\n'"
"b'151312 \t 155 \t \t 400\r\n'"
"b'152361 \t 150 \t \t 400\r\n'"
"b'153412 \t 145 \t \t 400\r\n'"
"b'154463 \t 144 \t \t 400\r\n'"
"b'155513 \t 145 \t \t 400\r\n'"
"b'156564 \t 146 \t \t 400\r\n'"
"b'157615 \t 144 \t \t 400\r\n'"
"b'158665 \t 137 \t \t 400\r\n'"
"b'159716 \t 145 \t \t 400\r\n'"
"b'160766 \t 145 \t \t 400\r\n'"
"b'161817 \t 143 \t \t 400\r\n'"
"b'162867 \t 141 \t \t 400\r\n'"
"b'163917 \t 139 \t \t 400\r\n'"
"b'164968 \t 141 \t \t 400\r\n'"
"b'166019 \t 147 \t \t 400\r\n'"
"b'167069 \t 145 \t \t 400\r\n'"
"b'168120 \t 148 \t \t 400\r\n'"
