44,0,,400
1093,0,,400
2144,0,,400
3194,0,,400
4244,0,,400
5295,0,,400
6345,0,,400
7395,0,,400
8445,0,,400
9496,0,,400
10547,0,,400
11596,0,,400
12647,0,,400
13698,0,,400
14748,84,,587
15798,87,,584
16848,89,,583
17899,87,,584
18950,90,,585
20000,87,,584
21050,86,,576
22100,90,,584
23151,87,,576
24202,88,,573
25252,91,,582
26302,84,,576
27353,86,,575
28403,90,,576
29454,86,,572
30504,88,,576
31554,86,,563
32605,84,,567
33655,86,,564
34706,87,,573
35757,84,,573
36806,85,,569
37857,91,,574
38907,83,,571
39958,83,,568
41009,85,,562
42058,83,,570
43109,84,,569
44160,85,,563
45210,85,,570
46261,82,,565
47311,80,,557
48361,78,,561
49412,82,,568
50462,81,,561
51513,86,,567
52563,87,,574
53613,82,,568
54664,84,,567
55714,86,,566
56765,87,,567
57816,87,,562
58865,84,,555
59916,83,,562
60966,82,,559
62017,83,,554
63068,83,,559
64117,83,,555
65168,81,,561
66219,88,,568
67269,80,,566
68320,85,,576
69369,81,,570
70420,88,,574
71471,87,,564
