"80,Raw H2 14294 \tRaw Ethanol 19233"
"81,TVOC 4 ppb\teCO2 402 ppm"
"82,Raw H2 14296 \tRaw Ethanol 19224"
"83,TVOC 8 ppb\teCO2 408 ppm"
"84,Raw H2 14290 \tRaw Ethanol 19230"
"85,TVOC 3 ppb\teCO2 408 ppm"
"86,Raw H2 14294 \tRaw Ethanol 19228"
"87,TVOC 8 ppb\teCO2 402 ppm"
"88,Raw H2 14296 \tRaw Ethanol 19225"
"89,TVOC 12 ppb\teCO2 404 ppm"
"90,Raw H2 14302 \tRaw Ethanol 19222"
"91,TVOC 7 ppb\teCO2 400 ppm"
"92,Raw H2 14296 \tRaw Ethanol 19219"
"93,TVOC 9 ppb\teCO2 412 ppm"
"94,Raw H2 14292 \tRaw Ethanol 19222"
"95,TVOC 5 ppb\teCO2 400 ppm"
"96,Raw H2 14297 \tRaw Ethanol 19224"
"97,TVOC 3 ppb\teCO2 412 ppm"
"98,Raw H2 14290 \tRaw Ethanol 19226"
"99,TVOC 8 ppb\teCO2 409 ppm"
"100,Raw H2 14297 \tRaw Ethanol 19224"
"101,TVOC 8 ppb\teCO2 403 ppm"
"102,Raw H2 14299 \tRaw Ethanol 19213"
"103,TVOC 6 ppb\teCO2 407 ppm"
"104,Raw H2 14298 \tRaw Ethanol 19218"
"105,TVOC 11 ppb\teCO2 413 ppm"
"106,Raw H2 14298 \tRaw Ethanol 19220"
"107,TVOC 8 ppb\teCO2 401 ppm"
"108,Raw H2 14302 \tRaw Ethanol 19222"
"109,TVOC 6 ppb\teCO2 405 ppm"
"110,Raw H2 14303 \tRaw Ethanol 19228"
"111,TVOC 7 ppb\teCO2 407 ppm"
"112,Raw H2 14292 \tRaw Ethanol 19222"
"113,TVOC 8 ppb\teCO2 402 ppm"
"114,Raw H2 14301 \tRaw Ethanol 19223"
"115,TVOC 5 ppb\teCO2 400 ppm"
"116,Raw H2 14306 \tRaw Ethanol 19227"
"117,TVOC 11 ppb\teCO2 413 ppm"
"118,Raw H2 14300 \tRaw Ethanol 19219"
"119,TVOC 6 ppb\teCO2 401 ppm"
"120,Raw H2 14301 \tRaw Ethanol 19227"
"121,TVOC 6 ppb\teCO2 406 ppm"
"122,Raw H2 14303 \tRaw Ethanol 19219"
"123,****Baseline values: eCO2: 0x9770 & TVOC: 0x9315"
"124,TVOC 11 ppb\teCO2 405 ppm"
"125,Raw H2 14297 \tRaw Ethanol 19222"
"126,TVOC 12 ppb\teCO2 412 ppm"
"127,Raw H2 14296 \tRaw Ethanol 19215"
"128,TVOC 4 ppb\teCO2 402 ppm"
"129,Raw H2 14307 \tRaw Ethanol 19224"
