"b'30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'44\t0\t400 \n'"
"b'SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'44\t0\t400 \n'"
"b'1093\t0\t400 \n'"
"b'2144\t0\t400 \n'"
"b'3194\t0\t400 \n'"
"b'4244\t0\t400 \n'"
"b'5295\t0\t400 \n'"
"b'6345\t0\t400 \n'"
"b'7395\t0\t400 \n'"
"b'8445\t0\t400 \n'"
"b'9496\t0\t400 \n'"
"b'10546\t0\t400 \n'"
"b'11596\t0\t400 \n'"
"b'12647\t0\t400 \n'"
"b'13697\t0\t400 \n'"
"b'14747\t73\t561 \n'"
"b'15798\t75\t556 \n'"
"b'16848\t79\t559 \n'"
"b'17898\t78\t553 \n'"
"b'18949\t79\t552 \n'"
"b'19999\t81\t549 \n'"
"b'21050\t78\t551 \n'"
"b'22100\t78\t548 \n'"
"b'23150\t77\t543 \n'"
"b'24201\t77\t543 \n'"
"b'25251\t77\t548 \n'"
"b'26302\t76\t540 \n'"
"b'27352\t77\t543 \n'"
"b'28402\t77\t543 \n'"
"b'29453\t81\t538 \n'"
"b'30503\t78\t541 \n'"
"b'31553\t76\t536 \n'"
"b'32604\t73\t529 \n'"
"b'33654\t82\t545 \n'"
"b'34705\t77\t531 \n'"
"b'35755\t78\t536 \n'"
"b'36805\t73\t535 \n'"
"b'37856\t83\t540 \n'"
"b'38906\t77\t537 \n'"
"b'39957\t76\t533 \n'"
"b'41007\t77\t532 \n'"
"b'42057\t77\t537 \n'"
"b'43108\t78\t534 \n'"
"b'44158\t76\t544 \n'"
"b'45208\t76\t542 \n'"
"b'46259\t76\t541 \n'"
"b'47309\t69\t540 \n'"
"b'48360\t74\t540 \n'"
"b'49410\t81\t548 \n'"
"b'50460\t76\t546 \n'"
"b'51511\t78\t546 \n'"
"b'52561\t75\t543 \n'"
"b'53612\t81\t549 \n'"
"b'54662\t75\t542 \n'"
"b'55712\t79\t542 \n'"
"b'56763\t75\t546 \n'"
"b'57814\t72\t543 \n'"
"b'58863\t76\t544 \n'"
"b'59914\t79\t543 \n'"
"b'60964\t75\t544 \n'"
"b'62015\t77\t535 \n'"
"b'63065\t77\t539 \n'"
"b'64115\t74\t549 \n'"
"b'65166\t75\t532 \n'"
"b'66216\t78\t541 \n'"
"b'67267\t68\t532 \n'"
"b'68317\t77\t544 \n'"
"b'69367\t78\t540 \n'"
"b'70418\t77\t541 \n'"
"b'71469\t72\t540 \n'"
"b'72518\t77\t545 \n'"
"b'73569\t71\t536 \n'"
"b'74619\t80\t538 \n'"
"b'75670\t80\t533 \n'"
"b'76720\t79\t539 \n'"
"b'77770\t75\t538 \n'"
"b'78821\t77\t529 \n'"
"b'79872\t77\t533 \n'"
"b'80922\t76\t529 \n'"
"b'81972\t78\t535 \n'"
"b'83022\t78\t532 \n'"
"b'84073\t77\t527 \n'"
"b'85124\t76\t531 \n'"
"b'86173\t74\t535 \n'"
"b'87224\t78\t534 \n'"
"b'88274\t74\t534 \n'"
"b'89325\t80\t526 \n'"
"b'90375\t78\t528 \n'"
"b'91425\t78\t532 \n'"
"b'92476\t76\t528 \n'"
"b'93527\t73\t533 \n'"
"b'94577\t76\t532 \n'"
"b'95627\t77\t529 \n'"
"b'96677\t76\t532 \n'"
"b'97728\t81\t523 \n'"
"b'98779\t77\t528 \n'"
"b'99828\t75\t523 \n'"
"b'100879\t71\t525 \n'"
"b'101929\t75\t524 \n'"
"b'102980\t74\t526 \n'"
"b'104031\t75\t525 \n'"
"b'105080\t71\t525 \n'"
"b'106131\t72\t524 \n'"
"b'107182\t70\t520 \n'"
"b'108232\t75\t523 \n'"
"b'109283\t74\t529 \n'"
"b'110332\t79\t531 \n'"
"b'111383\t75\t528 \n'"
"b'112434\t75\t533 \n'"
"b'113484\t77\t529 \n'"
"b'114535\t73\t533 \n'"
"b'115585\t76\t529 \n'"
"b'116635\t77\t535 \n'"
"b'117686\t76\t527 \n'"
"b'118736\t76\t527 \n'"
"b'119787\t76\t530 \n'"
"b'120838\t72\t532 \n'"
"b'121887\t74\t536 \n'"
"b'122938\t80\t528 \n'"
"b'123988\t74\t533 \n'"
"b'125039\t74\t534 \n'"
"b'126090\t74\t532 \n'"
"b'127139\t79\t536 \n'"
"b'128190\t75\t526 \n'"
"b'129241\t77\t536 \n'"
"b'130291\t79\t531 \n'"
"b'131342\t79\t535 \n'"
"b'132391\t74\t530 \n'"
"b'133442\t74\t532 \n'"
"b'134493\t79\t531 \n'"
"b'135543\t76\t534 \n'"
"b'136594\t77\t533 \n'"
"b'137645\t77\t527 \n'"
"b'138694\t78\t531 \n'"
"b'139745\t79\t529 \n'"
"b'140795\t81\t527 \n'"
"b'141846\t76\t534 \n'"
"b'142897\t80\t523 \n'"
"b'143946\t74\t521 \n'"
"b'144997\t70\t522 \n'"
