"b'18\t  508\n'"
"b'176521\t  104\t  493\n'"
"b'177571\t  111\t  492\n'"
"b'178621\t  111\t  497\n'"
"b'179672\t  111\t  491\n'"
"b'180722\t  111\t  493\n'"
"b'181773\t  111\t  489\n'"
"b'182823\t  106\t  491\n'"
"b'183874\t  111\t  486\n'"
"b'184925\t  110\t  492\n'"
"b'185975\t  112\t  491\n'"
"b'187025\t  110\t  490\n'"
"b'188076\t  109\t  484\n'"
"b'189126\t  107\t  488\n'"
"b'190177\t  110\t  494\n'"
"b'191227\t  107\t  483\n'"
"b'192278\t  108\t  485\n'"
"b'193329\t  110\t  485\n'"
"b'194379\t  109\t  493\n'"
"b'195429\t  110\t  492\n'"
"b'196480\t  109\t  491\n'"
"b'197530\t  113\t  488\n'"
"b'198581\t  110\t  489\n'"
"b'199631\t  111\t  494\n'"
"b'200682\t  111\t  493\n'"
"b'201733\t  116\t  494\n'"
"b'202783\t  111\t  483\n'"
"b'203833\t  112\t  483\n'"
"b'204883\t  107\t  481\n'"
"b'205934\t  111\t  490\n'"
"b'206985\t  115\t  487\n'"
"b'208035\t  108\t  476\n'"
"b'209086\t  107\t  482\n'"
"b'210137\t  107\t  476\n'"
"b'211187\t  110\t  479\n'"
"b'212237\t  107\t  487\n'"
"b'213287\t  107\t  487\n'"
"b'214338\t  108\t  485\n'"
"b'215389\t  109\t  480\n'"
"b'216439\t  109\t  492\n'"
"b'217490\t  109\t  488\n'"
"b'218541\t  108\t  487\n'"
"b'219591\t  104\t  484\n'"
"b'220641\t  105\t  486\n'"
"b'221691\t  106\t  485\n'"
"b'222742\t  114\t  481\n'"
"b'223793\t  112\t  477\n'"
"b'224843\t  109\t  481\n'"
"b'225894\t  111\t  490\n'"
"b'226945\t  109\t  478\n'"
"b'227995\t  110\t  477\n'"
"b'229045\t  108\t  478\n'"
"b'230095\t  107\t  479\n'"
"b'231146\t  107\t  482\n'"
"b'232197\t  108\t  472\n'"
"b'233247\t  111\t  479\n'"
"b'234298\t  106\t  480\n'"
"b'235348\t  106\t  480\n'"
"b'236399\t  103\t  476\n'"
"b'237449\t  106\t  477\n'"
"b'238499\t  108\t  473\n'"
"b'239550\t  108\t  481\n'"
"b'240601\t  105\t  489\n'"
"b'241651\t  109\t  480\n'"
"b'242702\t  103\t  483\n'"
"b'243752\t  110\t  485\n'"
"b'244803\t  104\t  480\n'"
"b'245853\t  109\t  483\n'"
"b'246903\t  110\t  478\n'"
"b'247954\t  111\t  486\n'"
"b'249005\t  103\t  483\n'"
"b'250055\t  109\t  482\n'"
"b'251106\t  111\t  476\n'"
"b'252156\t  105\t  481\n'"
"b'253207\t  108\t  483\n'"
"b'254257\t  111\t  486\n'"
"b'255307\t  106\t  480\n'"
"b'256358\t  109\t  481\n'"
"b'257409\t  104\t  483\n'"
"b'258459\t  107\t  482\n'"
"b'259510\t  113\t  486\n'"
"b'260560\t  106\t  487\n'"
"b'261611\t  105\t  479\n'"
"b'262661\t  105\t  486\n'"
"b'263711\t  107\t  478\n'"
"b'264762\t  106\t  479\n'"
"b'265812\t  105\t  478\n'"
"b'266863\t  110\t  482\n'"
"b'267914\t  110\t  486\n'"
"b'268964\t  109\t  485\n'"
"b'270015\t  109\t  482\n'"
"b'271065\t  107\t  477\n'"
"b'272115\t  109\t  477\n'"
"b'273166\t  102\t  472\n'"
"b'274216\t  111\t  475\n'"
"b'275267\t  109\t  475\n'"
"b'276318\t  109\t  478\n'"
"b'277368\t  107\t  476\n'"
"b'278419\t  109\t  469\n'"
"b'279469\t  110\t  469\n'"
"b'280519\t  105\t  478\n'"
"b'281570\t  113\t  477\n'"
"b'282620\t  106\t  473\n'"
"b'283671\t  108\t  477\n'"
"b'284722\t  102\t  471\n'"
"b'285772\t  109\t  482\n'"
"b'286823\t  109\t  477\n'"
"b'287873\t  110\t  465\n'"
"b'288923\t  103\t  478\n'"
