"b'18\t  508\n'"
"b'796343\t  117\t  530\n'"
"b'797392\t  115\t  530\n'"
"b'798443\t  125\t  535\n'"
"b'799494\t  118\t  527\n'"
"b'800544\t  122\t  532\n'"
"b'801595\t  124\t  535\n'"
"b'802646\t  117\t  525\n'"
"b'803696\t  114\t  524\n'"
"b'804747\t  114\t  521\n'"
"b'805796\t  114\t  516\n'"
"b'806847\t  118\t  524\n'"
"b'807898\t  114\t  517\n'"
"b'808948\t  118\t  520\n'"
"b'809999\t  116\t  519\n'"
"b'811049\t  115\t  511\n'"
"b'812100\t  119\t  524\n'"
"b'813151\t  119\t  510\n'"
"b'814200\t  116\t  518\n'"
"b'815251\t  113\t  511\n'"
"b'816302\t  110\t  515\n'"
"b'817352\t  114\t  510\n'"
"b'818403\t  109\t  515\n'"
"b'819453\t  112\t  511\n'"
"b'820504\t  111\t  509\n'"
"b'821555\t  116\t  511\n'"
"b'822604\t  112\t  511\n'"
"b'823655\t  113\t  512\n'"
"b'824706\t  115\t  516\n'"
"b'825756\t  111\t  513\n'"
"b'826807\t  117\t  514\n'"
"b'827857\t  113\t  508\n'"
"b'828908\t  119\t  511\n'"
"b'829959\t  115\t  511\n'"
"b'831008\t  115\t  506\n'"
"b'832059\t  112\t  510\n'"
"b'833110\t  114\t  503\n'"
"b'834160\t  115\t  507\n'"
"b'835211\t  111\t  504\n'"
"b'836261\t  110\t  502\n'"
"b'837312\t  114\t  498\n'"
"b'838363\t  108\t  504\n'"
"b'839412\t  110\t  509\n'"
"b'840463\t  122\t  505\n'"
"b'841513\t  117\t  504\n'"
"b'842564\t  116\t  500\n'"
"b'843615\t  114\t  501\n'"
"b'844665\t  118\t  497\n'"
"b'845716\t  113\t  500\n'"
"b'846767\t  118\t  503\n'"
"b'847816\t  113\t  498\n'"
"b'848867\t  111\t  498\n'"
"b'849917\t  114\t  502\n'"
"b'850968\t  110\t  494\n'"
"b'852019\t  118\t  499\n'"
"b'853069\t  113\t  498\n'"
"b'854120\t  110\t  500\n'"
"b'855171\t  114\t  492\n'"
"b'856220\t  114\t  500\n'"
"b'857271\t  108\t  493\n'"
"b'858321\t  115\t  495\n'"
"b'859372\t  110\t  500\n'"
"b'860423\t  116\t  495\n'"
"b'861473\t  117\t  502\n'"
"b'862524\t  110\t  498\n'"
"b'863575\t  107\t  494\n'"
"b'864624\t  114\t  498\n'"
"b'865675\t  107\t  495\n'"
"b'866725\t  113\t  499\n'"
"b'867776\t  113\t  500\n'"
"b'868827\t  109\t  497\n'"
"b'869877\t  108\t  495\n'"
"b'870928\t  104\t  492\n'"
"b'871979\t  106\t  494\n'"
"b'873029\t  111\t  497\n'"
"b'874079\t  113\t  498\n'"
"b'875129\t  114\t  502\n'"
"b'876180\t  109\t  496\n'"
"b'877231\t  117\t  506\n'"
"b'878281\t  110\t  497\n'"
"b'879332\t  108\t  493\n'"
"b'880382\t  108\t  493\n'"
"b'881433\t  111\t  508\n'"
"b'882483\t  113\t  503\n'"
"b'883533\t  112\t  503\n'"
"b'884584\t  115\t  505\n'"
"b'885635\t  113\t  501\n'"
"b'886685\t  115\t  507\n'"
"b'887736\t  108\t  499\n'"
"b'888786\t  112\t  501\n'"
"b'889837\t  108\t  498\n'"
"b'890887\t  108\t  504\n'"
"b'891937\t  110\t  495\n'"
"b'892988\t  108\t  499\n'"
"b'894039\t  115\t  502\n'"
"b'895089\t  111\t  505\n'"
"b'896140\t  112\t  501\n'"
"b'897190\t  114\t  501\n'"
"b'898241\t  113\t  504\n'"
"b'899291\t  117\t  504\n'"
"b'900341\t  113\t  500\n'"
"b'****Baseline values: eCO2: 0x96B1 & TVOC: 0x93CA\r\n'"
"b'Valores seteados\r\n'"
"b'901406\t  115\t  502\n'"
"b'902457\t  116\t  502\n'"
"b'903507\t  112\t  500\n'"
"b'904558\t  111\t  491\n'"
"b'905609\t  115\t  499\n'"
"b'906659\t  110\t  498\n'"
"b'907709\t  115\t  503\n'"
"b'908760\t  107\t  495\n'"
"b'909810\t  111\t  496\n'"
"b'910861\t  110\t  500\n'"
"b'911911\t  113\t  500\n'"
"b'912962\t  113\t  497\n'"
"b'914013\t  114\t  497\n'"
"b'915063\t  110\t  499\n'"
"b'916113\t  107\t  492\n'"
"b'917164\t  115\t  493\n'"
"b'918214\t  111\t  500\n'"
"b'919265\t  110\t  490\n'"
"b'920315\t  110\t  496\n'"
"b'921366\t  114\t  499\n'"
"b'922417\t  112\t  495\n'"
"b'923467\t  109\t  496\n'"
"b'924517\t  109\t  497\n'"
"b'925568\t  110\t  496\n'"
"b'926618\t  114\t  492\n'"
"b'927669\t  107\t  497\n'"
"b'928719\t  114\t  494\n'"
"b'929770\t  112\t  493\n'"
"b'930821\t  114\t  489\n'"
"b'931871\t  114\t  492\n'"
"b'932921\t  114\t  493\n'"
"b'933971\t  108\t  483\n'"
"b'935022\t  116\t  495\n'"
"b'936073\t  113\t  487\n'"
"b'937123\t  113\t  491\n'"
"b'938174\t  107\t  489\n'"
"b'939225\t  110\t  481\n'"
"b'940275\t  113\t  489\n'"
"b'941325\t  114\t  488\n'"
"b'942375\t  106\t  486\n'"
"b'943426\t  108\t  483\n'"
"b'944477\t  108\t  496\n'"
"b'945527\t  109\t  487\n'"
"b'946578\t  109\t  487\n'"
"b'947629\t  110\t  487\n'"
"b'948679\t  112\t  484\n'"
"b'949729\t  110\t  481\n'"
"b'950779\t  106\t  481\n'"
"b'951830\t  110\t  489\n'"
"b'952881\t  103\t  480\n'"
"b'953931\t  111\t  482\n'"
"b'954982\t  112\t  485\n'"
"b'956033\t  109\t  481\n'"
"b'957083\t  104\t  469\n'"
"b'958133\t  116\t  487\n'"
"b'959183\t  109\t  488\n'"
"b'960234\t  107\t  489\n'"
"b'961285\t  112\t  483\n'"
"b'962335\t  107\t  484\n'"
"b'963386\t  107\t  482\n'"
"b'964436\t  112\t  488\n'"
"b'965487\t  107\t  484\n'"
"b'966538\t  113\t  486\n'"
"b'967587\t  109\t  481\n'"
"b'968638\t  107\t  482\n'"
"b'969689\t  111\t  484\n'"
"b'970739\t  109\t  479\n'"
"b'971790\t  108\t  486\n'"
"b'972840\t  109\t  477\n'"
"b'973891\t  109\t  478\n'"
"b'974942\t  111\t  476\n'"
"b'975991\t  110\t  484\n'"
"b'977042\t  107\t  485\n'"
"b'978093\t  111\t  480\n'"
"b'979143\t  105\t  483\n'"
"b'980194\t  109\t  478\n'"
"b'981244\t  104\t  482\n'"
"b'982295\t  110\t  479\n'"
"b'983346\t  111\t  478\n'"
"b'984395\t  112\t  478\n'"
"b'985446\t  106\t  480\n'"
"b'986497\t  106\t  481\n'"
"b'987547\t  105\t  489\n'"
"b'988598\t  108\t  483\n'"
"b'989648\t  108\t  479\n'"
"b'990699\t  110\t  482\n'"
"b'991750\t  108\t  479\n'"
"b'992799\t  107\t  479\n'"
"b'993850\t  111\t  481\n'"
"b'994900\t  107\t  478\n'"
"b'995951\t  108\t  482\n'"
"b'997002\t  108\t  474\n'"
"b'998052\t  110\t  473\n'"
"b'999103\t  108\t  474\n'"
"b'1000154\t  107\t  473\n'"
"b'1001203\t  109\t  479\n'"
"b'1002254\t  113\t  480\n'"
"b'1003304\t  104\t  472\n'"
"b'1004355\t  106\t  467\n'"
"b'1005406\t  105\t  476\n'"
"b'1006456\t  108\t  478\n'"
"b'1007507\t  104\t  481\n'"
"b'1008558\t  103\t  474\n'"
"b'1009608\t  111\t  472\n'"
"b'1010659\t  110\t  482\n'"
"b'1011709\t  103\t  478\n'"
"b'1012760\t  112\t  475\n'"
"b'1013811\t  107\t  469\n'"
"b'1014860\t  106\t  471\n'"
"b'1015911\t  110\t  484\n'"
"b'1016962\t  103\t  479\n'"
"b'1018012\t  102\t  471\n'"
"b'1019063\t  110\t  485\n'"
"b'1020113\t  106\t  478\n'"
"b'1021164\t  106\t  478\n'"
"b'1022215\t  106\t  473\n'"
"b'1023265\t  107\t  477\n'"
"b'1024316\t  108\t  480\n'"
"b'1025367\t  107\t  479\n'"
"b'1026417\t  104\t  475\n'"
"b'1027468\t  106\t  474\n'"
"b'1028517\t  102\t  479\n'"
"b'1029568\t  99\t  472\n'"
"b'1030619\t  112\t  484\n'"
"b'1031669\t  107\t  472\n'"
"b'1032720\t  103\t  469\n'"
"b'1033771\t  105\t  476\n'"
"b'1034821\t  105\t  479\n'"
"b'1035872\t  103\t  482\n'"
"b'1036922\t  105\t  480\n'"
"b'1037973\t  112\t  480\n'"
"b'1039024\t  105\t  485\n'"
"b'1040074\t  107\t  484\n'"
"b'1041124\t  108\t  479\n'"
"b'1042174\t  102\t  479\n'"
"b'1043225\t  107\t  478\n'"
"b'1044276\t  111\t  477\n'"
"b'1045326\t  108\t  471\n'"
"b'1046377\t  106\t  478\n'"
"b'1047428\t  109\t  474\n'"
"b'1048478\t  104\t  475\n'"
"b'1049529\t  107\t  479\n'"
"b'1050579\t  108\t  475\n'"
"b'1051630\t  103\t  474\n'"
"b'1052681\t  105\t  482\n'"
"b'1053731\t  103\t  468\n'"
"b'1054781\t  106\t  476\n'"
"b'1055832\t  109\t  480\n'"
"b'1056882\t  106\t  477\n'"
"b'1057933\t  109\t  471\n'"
"b'1058983\t  98\t  469\n'"
"b'1060034\t  110\t  489\n'"
"b'1061085\t  105\t  482\n'"
"b'1062135\t  105\t  484\n'"
"b'1063186\t  106\t  478\n'"
"b'1064237\t  106\t  476\n'"
"b'1065287\t  108\t  475\n'"
"b'1066338\t  109\t  481\n'"
"b'1067387\t  103\t  472\n'"
"b'1068438\t  104\t  478\n'"
"b'1069489\t  106\t  478\n'"
"b'1070539\t  103\t  470\n'"
"b'1071590\t  98\t  465\n'"
"b'1072641\t  106\t  481\n'"
"b'1073691\t  107\t  473\n'"
"b'1074742\t  109\t  480\n'"
"b'1075792\t  111\t  476\n'"
"b'1076843\t  110\t  474\n'"
"b'1077894\t  105\t  474\n'"
"b'1078944\t  109\t  480\n'"
"b'1079994\t  108\t  472\n'"
"b'1081044\t  106\t  479\n'"
"b'1082095\t  110\t  480\n'"
"b'1083146\t  108\t  475\n'"
"b'1084196\t  104\t  473\n'"
"b'1085247\t  109\t  476\n'"
"b'1086298\t  107\t  467\n'"
"b'1087348\t  108\t  478\n'"
"b'1088399\t  105\t  477\n'"
"b'1089449\t  103\t  476\n'"
"b'1090500\t  102\t  476\n'"
"b'1091551\t  106\t  476\n'"
"b'1092601\t  104\t  480\n'"
"b'1093651\t  105\t  475\n'"
"b'1094702\t  108\t  478\n'"
"b'1095752\t  103\t  480\n'"
"b'1096803\t  108\t  477\n'"
"b'1097853\t  106\t  471\n'"
"b'1098904\t  101\t  475\n'"
"b'1099955\t  104\t  478\n'"
"b'1101005\t  103\t  483\n'"
"b'1102056\t  105\t  473\n'"
"b'1103107\t  104\t  474\n'"
"b'1104157\t  104\t  479\n'"
"b'1105208\t  110\t  481\n'"
"b'1106258\t  101\t  472\n'"
"b'1107308\t  108\t  470\n'"
"b'1108359\t  105\t  474\n'"
"b'1109409\t  103\t  484\n'"
"b'1110460\t  99\t  476\n'"
"b'1111511\t  100\t  477\n'"
"b'1112561\t  111\t  475\n'"
"b'1113612\t  104\t  475\n'"
"b'1114662\t  103\t  472\n'"
"b'1115713\t  103\t  477\n'"
"b'1116764\t  106\t  477\n'"
"b'1117814\t  108\t  483\n'"
"b'1118865\t  100\t  474\n'"
"b'1119915\t  104\t  476\n'"
"b'1120965\t  107\t  483\n'"
"b'1122016\t  105\t  472\n'"
"b'1123066\t  104\t  473\n'"
"b'1124117\t  112\t  478\n'"
"b'1125168\t  102\t  475\n'"
"b'1126218\t  105\t  474\n'"
"b'1127269\t  106\t  479\n'"
"b'1128320\t  104\t  472\n'"
"b'1129370\t  112\t  483\n'"
"b'1130421\t  102\t  477\n'"
"b'1131471\t  107\t  479\n'"
"b'1132521\t  104\t  485\n'"
"b'1133572\t  109\t  484\n'"
"b'1134622\t  104\t  478\n'"
"b'1135673\t  104\t  488\n'"
"b'1136723\t  106\t  485\n'"
"b'1137774\t  111\t  480\n'"
"b'1138825\t  105\t  482\n'"
"b'1139875\t  107\t  478\n'"
"b'1140926\t  105\t  481\n'"
"b'1141977\t  107\t  484\n'"
"b'1143027\t  104\t  478\n'"
"b'1144078\t  105\t  480\n'"
"b'1145128\t  106\t  477\n'"
"b'1146178\t  106\t  489\n'"
"b'1147229\t  102\t  479\n'"
"b'1148279\t  106\t  483\n'"
"b'1149330\t  108\t  482\n'"
"b'1150381\t  103\t  478\n'"
"b'1151431\t  108\t  480\n'"
"b'1152482\t  106\t  483\n'"
"b'1153532\t  104\t  482\n'"
"b'1154583\t  102\t  481\n'"
"b'1155634\t  102\t  481\n'"
"b'1156684\t  107\t  486\n'"
"b'1157735\t  105\t  486\n'"
"b'1158786\t  108\t  483\n'"
"b'1159835\t  109\t  491\n'"
"b'1160886\t  110\t  496\n'"
"b'1161936\t  109\t  491\n'"
"b'1162987\t  106\t  484\n'"
"b'1164038\t  107\t  488\n'"
"b'1165088\t  104\t  487\n'"
"b'1166139\t  109\t  492\n'"
"b'1167190\t  106\t  486\n'"
"b'1168240\t  108\t  489\n'"
"b'1169291\t  104\t  487\n'"
"b'1170341\t  108\t  498\n'"
"b'1171392\t  104\t  490\n'"
"b'1172443\t  112\t  488\n'"
"b'1173492\t  106\t  488\n'"
"b'1174543\t  105\t  485\n'"
"b'1175593\t  108\t  486\n'"
"b'1176644\t  105\t  491\n'"
"b'1177695\t  101\t  483\n'"
"b'1178745\t  110\t  487\n'"
"b'1179796\t  112\t  489\n'"
"b'1180847\t  107\t  491\n'"
"b'1181897\t  107\t  498\n'"
"b'1182948\t  113\t  496\n'"
"b'1183998\t  107\t  482\n'"
"b'1185049\t  110\t  491\n'"
"b'1186099\t  106\t  493\n'"
"b'1187149\t  104\t  484\n'"
"b'1188200\t  109\t  488\n'"
"b'1189251\t  109\t  494\n'"
"b'1190301\t  108\t  498\n'"
"b'1191352\t  111\t  499\n'"
"b'1192402\t  109\t  500\n'"
"b'1193453\t  111\t  497\n'"
"b'1194504\t  105\t  499\n'"
"b'1195554\t  106\t  498\n'"
"b'1196605\t  111\t  504\n'"
"b'1197656\t  111\t  508\n'"
"b'1198706\t  105\t  502\n'"
"b'1199756\t  109\t  506\n'"
"b'1200806\t  109\t  501\n'"
"b'****Baseline values: eCO2: 0x96B1 & TVOC: 0x93CA\r\n'"
"b'Valores seteados\r\n'"
"b'1201871\t  111\t  500\n'"
"b'1202922\t  107\t  501\n'"
"b'1203973\t  108\t  503\n'"
"b'1205023\t  105\t  501\n'"
"b'1206074\t  113\t  498\n'"
"b'1207124\t  113\t  508\n'"
"b'1208175\t  108\t  501\n'"
"b'1209226\t  104\t  499\n'"
"b'1210276\t  104\t  504\n'"
"b'1211327\t  114\t  505\n'"
"b'1212377\t  107\t  497\n'"
"b'1213427\t  110\t  494\n'"
"b'1214478\t  110\t  500\n'"
"b'1215528\t  113\t  501\n'"
"b'1216579\t  115\t  505\n'"
"b'1217630\t  108\t  494\n'"
"b'1218680\t  110\t  498\n'"
"b'1219731\t  110\t  500\n'"
"b'1220782\t  103\t  490\n'"
"b'1221832\t  107\t  495\n'"
"b'1222883\t  106\t  493\n'"
"b'1223933\t  110\t  493\n'"
"b'1224984\t  110\t  500\n'"
"b'1226034\t  110\t  503\n'"
"b'1227084\t  113\t  497\n'"
"b'1228135\t  116\t  507\n'"
"b'1229186\t  111\t  500\n'"
"b'1230236\t  106\t  492\n'"
"b'1231287\t  108\t  501\n'"
"b'1232337\t  115\t  504\n'"
"b'1233388\t  111\t  507\n'"
"b'1234439\t  106\t  501\n'"
"b'1235489\t  111\t  500\n'"
"b'1236540\t  112\t  502\n'"
"b'1237591\t  116\t  500\n'"
"b'1238640\t  110\t  501\n'"
"b'1239691\t  110\t  500\n'"
"b'1240741\t  108\t  501\n'"
"b'1241792\t  112\t  504\n'"
"b'1242843\t  113\t  498\n'"
"b'1243893\t  112\t  501\n'"
"b'1244944\t  116\t  497\n'"
"b'1245995\t  109\t  500\n'"
"b'1247045\t  113\t  497\n'"
"b'1248096\t  111\t  501\n'"
"b'1249146\t  111\t  495\n'"
"b'1250197\t  109\t  495\n'"
"b'1251248\t  109\t  502\n'"
"b'1252297\t  111\t  500\n'"
"b'1253348\t  111\t  501\n'"
"b'1254398\t  112\t  506\n'"
"b'1255449\t  108\t  498\n'"
"b'1256500\t  106\t  502\n'"
"b'1257550\t  111\t  500\n'"
"b'1258601\t  111\t  504\n'"
"b'1259652\t  107\t  487\n'"
"b'1260702\t  112\t  501\n'"
"b'1261753\t  106\t  494\n'"
"b'1262803\t  109\t  498\n'"
"b'1263854\t  115\t  496\n'"
"b'1264905\t  113\t  504\n'"
"b'1265954\t  116\t  507\n'"
"b'1267005\t  114\t  502\n'"
"b'1268056\t  112\t  483\n'"
"b'1269106\t  109\t  491\n'"
"b'1270157\t  113\t  502\n'"
"b'1271207\t  106\t  493\n'"
"b'1272258\t  113\t  504\n'"
"b'1273309\t  114\t  502\n'"
"b'1274359\t  111\t  493\n'"
"b'1275410\t  110\t  496\n'"
"b'1276461\t  112\t  498\n'"
"b'1277511\t  110\t  496\n'"
"b'1278561\t  109\t  502\n'"
"b'1279611\t  111\t  496\n'"
"b'1280662\t  115\t  499\n'"
"b'1281713\t  112\t  501\n'"
"b'1282763\t  112\t  507\n'"
"b'1283814\t  113\t  502\n'"
"b'1284865\t  115\t  491\n'"
"b'1285915\t  112\t  499\n'"
"b'1286966\t  107\t  494\n'"
"b'1288016\t  111\t  489\n'"
"b'1289067\t  113\t  493\n'"
"b'1290118\t  112\t  505\n'"
"b'1291168\t  112\t  499\n'"
"b'1292218\t  106\t  503\n'"
"b'1293268\t  109\t  495\n'"
"b'1294319\t  116\t  497\n'"
"b'1295370\t  111\t  494\n'"
"b'1296420\t  110\t  497\n'"
"b'1297471\t  110\t  502\n'"
"b'1298522\t  112\t  496\n'"
"b'1299572\t  115\t  498\n'"
"b'1300623\t  108\t  496\n'"
"b'1301673\t  114\t  503\n'"
"b'1302724\t  115\t  492\n'"
"b'1303775\t  106\t  495\n'"
"b'1304824\t  113\t  495\n'"
"b'1305875\t  109\t  500\n'"
"b'1306926\t  113\t  497\n'"
"b'1307976\t  115\t  502\n'"
"b'1309027\t  117\t  494\n'"
"b'1310077\t  115\t  498\n'"
"b'1311128\t  113\t  496\n'"
"b'1312179\t  116\t  497\n'"
"b'1313229\t  111\t  486\n'"
"b'1314280\t  113\t  494\n'"
"b'1315331\t  113\t  490\n'"
"b'1316381\t  112\t  492\n'"
"b'1317432\t  110\t  495\n'"
"b'1318481\t  112\t  495\n'"
"b'1319532\t  113\t  489\n'"
"b'1320583\t  112\t  492\n'"
"b'1321633\t  112\t  505\n'"
"b'1322684\t  112\t  493\n'"
"b'1323735\t  113\t  495\n'"
"b'1324785\t  109\t  496\n'"
"b'1325836\t  112\t  498\n'"
"b'1326886\t  113\t  495\n'"
"b'1327937\t  117\t  496\n'"
"b'1328988\t  110\t  494\n'"
"b'1330038\t  113\t  488\n'"
"b'1331089\t  110\t  494\n'"
"b'1332139\t  109\t  498\n'"
"b'1333189\t  108\t  500\n'"
"b'1334240\t  116\t  502\n'"
"b'1335290\t  108\t  489\n'"
"b'1336341\t  110\t  492\n'"
"b'1337392\t  109\t  493\n'"
"b'1338442\t  109\t  496\n'"
"b'1339493\t  113\t  504\n'"
"b'1340544\t  111\t  495\n'"
"b'1341594\t  110\t  499\n'"
"b'1342645\t  110\t  499\n'"
"b'1343695\t  107\t  501\n'"
"b'1344745\t  109\t  493\n'"
"b'1345796\t  109\t  495\n'"
"b'1346846\t  112\t  491\n'"
"b'1347897\t  113\t  497\n'"
"b'1348947\t  107\t  496\n'"
"b'1349998\t  112\t  502\n'"
"b'1351049\t  107\t  495\n'"
"b'1352099\t  114\t  504\n'"
"b'1353150\t  109\t  498\n'"
"b'1354201\t  110\t  497\n'"
"b'1355251\t  113\t  499\n'"
"b'1356302\t  110\t  501\n'"
"b'1357352\t  109\t  502\n'"
"b'1358402\t  108\t  499\n'"
"b'1359453\t  109\t  494\n'"
"b'1360503\t  112\t  501\n'"
"b'1361554\t  115\t  505\n'"
"b'1362605\t  114\t  497\n'"
"b'1363655\t  105\t  493\n'"
"b'1364706\t  110\t  500\n'"
"b'1365756\t  110\t  496\n'"
"b'1366807\t  115\t  496\n'"
"b'1367858\t  112\t  499\n'"
"b'1368908\t  107\t  491\n'"
"b'1369959\t  109\t  498\n'"
"b'1371009\t  107\t  494\n'"
"b'1372059\t  109\t  498\n'"
"b'1373110\t  117\t  506\n'"
"b'1374160\t  111\t  505\n'"
"b'1375211\t  114\t  501\n'"
"b'1376262\t  110\t  499\n'"
"b'1377312\t  106\t  499\n'"
"b'1378363\t  104\t  489\n'"
"b'1379414\t  112\t  501\n'"
"b'1380464\t  111\t  505\n'"
"b'1381515\t  106\t  496\n'"
"b'1382565\t  111\t  504\n'"
"b'1383616\t  112\t  502\n'"
"b'1384666\t  105\t  496\n'"
"b'1385716\t  113\t  499\n'"
"b'1386767\t  111\t  495\n'"
"b'1387817\t  110\t  495\n'"
"b'1388868\t  115\t  500\n'"
"b'1389919\t  111\t  494\n'"
"b'1390969\t  108\t  489\n'"
"b'1392020\t  110\t  495\n'"
"b'1393071\t  111\t  493\n'"
"b'1394121\t  114\t  496\n'"
"b'1395172\t  108\t  495\n'"
"b'1396222\t  108\t  488\n'"
"b'1397273\t  109\t  497\n'"
"b'1398323\t  109\t  489\n'"
"b'1399373\t  111\t  489\n'"
"b'1400424\t  117\t  497\n'"
"b'1401475\t  117\t  495\n'"
"b'1402525\t  105\t  490\n'"
"b'1403576\t  108\t  486\n'"
"b'1404626\t  110\t  494\n'"
"b'1405677\t  114\t  492\n'"
"b'1406728\t  113\t  493\n'"
"b'1407778\t  108\t  494\n'"
"b'1408829\t  112\t  491\n'"
"b'1409880\t  109\t  492\n'"
"b'1410930\t  110\t  488\n'"
"b'1411980\t  110\t  491\n'"
"b'1413030\t  111\t  491\n'"
"b'1414081\t  111\t  493\n'"
"b'1415132\t  112\t  492\n'"
"b'1416182\t  112\t  487\n'"
"b'1417233\t  111\t  487\n'"
"b'1418284\t  111\t  483\n'"
"b'1419334\t  113\t  490\n'"
"b'1420385\t  109\t  489\n'"
"b'1421435\t  109\t  489\n'"
"b'1422486\t  113\t  493\n'"
"b'1423537\t  111\t  492\n'"
"b'1424586\t  111\t  491\n'"
"b'1425637\t  114\t  497\n'"
"b'1426688\t  112\t  490\n'"
"b'1427738\t  112\t  493\n'"
"b'1428789\t  115\t  486\n'"
"b'1429839\t  111\t  494\n'"
"b'1430890\t  111\t  491\n'"
"b'1431941\t  109\t  488\n'"
"b'1432991\t  116\t  488\n'"
"b'1434042\t  111\t  489\n'"
"b'1435092\t  112\t  488\n'"
"b'1436143\t  110\t  486\n'"
"b'1437194\t  109\t  485\n'"
"b'1438243\t  109\t  477\n'"
"b'1439294\t  110\t  491\n'"
"b'1440345\t  111\t  490\n'"
"b'1441395\t  115\t  487\n'"
"b'1442446\t  111\t  489\n'"
"b'1443496\t  110\t  486\n'"
"b'1444547\t  113\t  490\n'"
"b'1445598\t  108\t  484\n'"
"b'1446648\t  112\t  481\n'"
"b'1447699\t  114\t  486\n'"
"b'1448750\t  110\t  493\n'"
"b'1449800\t  111\t  492\n'"
"b'1450851\t  109\t  487\n'"
"b'1451900\t  107\t  486\n'"
"b'1452951\t  111\t  482\n'"
"b'1454002\t  103\t  484\n'"
"b'1455052\t  113\t  491\n'"
"b'1456103\t  110\t  488\n'"
"b'1457154\t  110\t  486\n'"
"b'1458204\t  104\t  490\n'"
"b'1459255\t  109\t  497\n'"
"b'1460305\t  110\t  494\n'"
"b'1461356\t  113\t  491\n'"
"b'1462407\t  109\t  492\n'"
"b'1463457\t  110\t  489\n'"
"b'1464507\t  110\t  490\n'"
"b'1465558\t  103\t  479\n'"
"b'1466608\t  108\t  488\n'"
"b'1467659\t  107\t  488\n'"
"b'1468709\t  111\t  491\n'"
"b'1469760\t  109\t  488\n'"
"b'1470811\t  108\t  485\n'"
"b'1471861\t  115\t  491\n'"
"b'1472912\t  108\t  492\n'"
"b'1473963\t  115\t  491\n'"
"b'1475013\t  110\t  486\n'"
"b'1476064\t  110\t  487\n'"
"b'1477114\t  112\t  494\n'"
"b'1478165\t  114\t  488\n'"
"b'1479215\t  112\t  488\n'"
"b'1480265\t  111\t  484\n'"
"b'1481316\t  116\t  492\n'"
"b'1482366\t  119\t  492\n'"
"b'1483417\t  106\t  485\n'"
"b'1484468\t  110\t  489\n'"
"b'1485518\t  113\t  491\n'"
"b'1486569\t  100\t  480\n'"
"b'1487620\t  106\t  489\n'"
"b'1488670\t  112\t  493\n'"
"b'1489721\t  107\t  489\n'"
"b'1490771\t  114\t  490\n'"
"b'1491821\t  114\t  490\n'"
"b'1492872\t  112\t  491\n'"
"b'1493922\t  111\t  485\n'"
"b'1494973\t  111\t  487\n'"
"b'1496024\t  110\t  483\n'"
"b'1497074\t  113\t  493\n'"
"b'1498125\t  108\t  497\n'"
"b'1499175\t  108\t  489\n'"
"b'1500226\t  111\t  493\n'"
"b'****Baseline values: eCO2: 0x96B1 & TVOC: 0x93CA\r\n'"
"b'Valores seteados\r\n'"
"b'1501291\t  109\t  493\n'"
"b'1502342\t  112\t  490\n'"
"b'1503392\t  114\t  491\n'"
"b'1504442\t  109\t  492\n'"
"b'1505492\t  109\t  486\n'"
"b'1506543\t  110\t  488\n'"
"b'1507594\t  118\t  494\n'"
"b'1508644\t  108\t  492\n'"
"b'1509695\t  116\t  491\n'"
"b'1510746\t  115\t  490\n'"
"b'1511796\t  116\t  492\n'"
"b'1512847\t  115\t  498\n'"
"b'1513897\t  108\t  493\n'"
"b'1514948\t  105\t  495\n'"
"b'1515999\t  108\t  494\n'"
"b'1517049\t  110\t  493\n'"
"b'1518099\t  110\t  498\n'"
"b'1519150\t  112\t  494\n'"
"b'1520200\t  110\t  497\n'"
"b'1521251\t  108\t  499\n'"
"b'1522301\t  110\t  497\n'"
"b'1523352\t  111\t  507\n'"
"b'1524403\t  111\t  507\n'"
"b'1525453\t  105\t  502\n'"
"b'1526504\t  112\t  511\n'"
"b'1527555\t  109\t  493\n'"
"b'1528605\t  113\t  509\n'"
"b'1529656\t  117\t  506\n'"
"b'1530706\t  115\t  511\n'"
"b'1531756\t  118\t  511\n'"
"b'1532807\t  108\t  505\n'"
"b'1533857\t  109\t  498\n'"
"b'1534908\t  115\t  512\n'"
"b'1535959\t  113\t  509\n'"
"b'1537009\t  107\t  504\n'"
"b'1538060\t  112\t  504\n'"
"b'1539110\t  115\t  511\n'"
"b'1540161\t  114\t  511\n'"
"b'1541212\t  108\t  505\n'"
"b'1542262\t  115\t  510\n'"
"b'1543313\t  113\t  505\n'"
"b'1544364\t  115\t  511\n'"
"b'1545413\t  120\t  516\n'"
"b'1546464\t  113\t  516\n'"
"b'1547514\t  115\t  512\n'"
"b'1548565\t  114\t  508\n'"
"b'1549616\t  117\t  509\n'"
"b'1550666\t  114\t  512\n'"
"b'1551717\t  113\t  511\n'"
"b'1552768\t  113\t  507\n'"
"b'1553818\t  112\t  507\n'"
"b'1554869\t  117\t  504\n'"
"b'1555919\t  112\t  513\n'"
"b'1556970\t  116\t  507\n'"
"b'1558021\t  112\t  514\n'"
"b'1559070\t  120\t  504\n'"
"b'1560121\t  114\t  502\n'"
"b'1561171\t  115\t  504\n'"
"b'1562222\t  113\t  506\n'"
"b'1563273\t  113\t  510\n'"
"b'1564323\t  119\t  513\n'"
"b'1565374\t  115\t  509\n'"
"b'1566425\t  113\t  508\n'"
"b'1567475\t  111\t  509\n'"
"b'1568526\t  115\t  506\n'"
"b'1569576\t  117\t  507\n'"
