"b'369-119-526 \n'"
"b'70420-123-529 \n'"
"b'SGP30 test\r\n'"
"b'Found SGP30 serial #0CA48A2\r\n'"
"b'44-0-400 \n'"
"b'1093-0-400 \n'"
"b'2144-0-400 \n'"
"b'3194-0-400 \n'"
"b'4244-0-400 \n'"
"b'5295-0-400 \n'"
"b'6345-0-400 \n'"
"b'7395-0-400 \n'"
"b'8445-0-400 \n'"
"b'9496-0-400 \n'"
"b'10546-0-400 \n'"
"b'11596-0-400 \n'"
"b'12647-0-400 \n'"
"b'13697-0-400 \n'"
"b'14747-114-512 \n'"
"b'15798-126-511 \n'"
"b'16848-117-512 \n'"
"b'17899-112-508 \n'"
"b'18949-113-508 \n'"
"b'19999-115-511 \n'"
"b'21050-118-506 \n'"
"b'22100-114-505 \n'"
"b'23151-116-516 \n'"
"b'24201-115-510 \n'"
"b'25251-117-512 \n'"
"b'26302-119-511 \n'"
"b'27353-117-503 \n'"
"b'28403-117-509 \n'"
"b'29453-117-506 \n'"
"b'30503-116-495 \n'"
"b'31554-115-503 \n'"
"b'32605-113-505 \n'"
"b'33655-111-506 \n'"
"b'34706-119-507 \n'"
"b'35756-112-505 \n'"
"b'36806-113-508 \n'"
"b'37857-118-504 \n'"
"b'38907-116-509 \n'"
"b'39958-114-511 \n'"
"b'41008-120-505 \n'"
"b'42058-119-507 \n'"
"b'43109-113-509 \n'"
"b'44160-117-505 \n'"
"b'45210-115-511 \n'"
"b'46260-115-506 \n'"
"b'47310-116-503 \n'"
"b'48361-117-506 \n'"
"b'49412-114-508 \n'"
"b'50462-115-508 \n'"
"b'51513-115-507 \n'"
"b'52562-117-501 \n'"
"b'53613-117-500 \n'"
"b'54664-116-504 \n'"
"b'55714-115-504 \n'"
"b'56765-113-500 \n'"
"b'57815-115-506 \n'"
"b'58865-115-507 \n'"
"b'59916-110-503 \n'"
"b'60966-116-517 \n'"
"b'62017-113-513 \n'"
"b'63067-116-506 \n'"
"b'64117-113-507 \n'"
"b'65168-118-507 \n'"
"b'66219-113-510 \n'"
"b'67269-118-515 \n'"
"b'68320-118-511 \n'"
"b'69369-118-508 \n'"
"b'70420-118-514 \n'"
"b'71471-114-507 \n'"
"b'72521-118-511 \n'"
"b'73572-116-504 \n'"
"b'74621-116-504 \n'"
"b'75672-116-505 \n'"
"b'76723-110-509 \n'"
"b'77773-114-506 \n'"
"b'78824-117-505 \n'"
"b'79874-114-504 \n'"
"b'80924-118-500 \n'"
"b'81975-118-506 \n'"
"b'83025-111-500 \n'"
"b'84076-113-500 \n'"
"b'85127-114-506 \n'"
"b'86176-117-507 \n'"
"b'87227-114-502 \n'"
"b'88278-109-509 \n'"
"b'89328-110-503 \n'"
"b'90379-111-503 \n'"
"b'91428-114-508 \n'"
"b'92479-117-506 \n'"
"b'93530-121-511 \n'"
"b'94580-112-503 \n'"
"b'95631-115-504 \n'"
"b'96680-113-494 \n'"
"b'97731-115-507 \n'"
"b'98782-114-497 \n'"
"b'99832-115-502 \n'"
"b'100883-118-509 \n'"
"b'101934-116-502 \n'"
"b'102983-115-496 \n'"
"b'104034-114-509 \n'"
"b'105084-117-511 \n'"
"b'106135-116-518 \n'"
"b'107186-120-510 \n'"
"b'108236-115-503 \n'"
"b'109287-120-508 \n'"
"b'110337-105-501 \n'"
"b'111387-110-515 \n'"
"b'112438-113-512 \n'"
"b'113488-120-521 \n'"
"b'114539-116-508 \n'"
"b'115590-113-511 \n'"
"b'116640-115-513 \n'"
"b'117690-115-517 \n'"
"b'118740-116-510 \n'"
"b'119791-112-516 \n'"
"b'120842-116-507 \n'"
"b'121892-117-517 \n'"
"b'122943-115-516 \n'"
"b'123994-115-512 \n'"
"b'125043-120-521 \n'"
"b'126094-115-522 \n'"
"b'127144-119-515 \n'"
"b'128195-114-509 \n'"
"b'129246-120-511 \n'"
"b'130296-118-516 \n'"
"b'131347-114-511 \n'"
"b'132397-116-511 \n'"
"b'133447-116-513 \n'"
"b'134498-116-522 \n'"
"b'135548-110-519 \n'"
"b'136599-119-529 \n'"
"b'137650-123-540 \n'"
"b'138699-124-539 \n'"
"b'139750-116-542 \n'"
"b'140801-116-550 \n'"
"b'141851-123-552 \n'"
"b'142902-120-554 \n'"
"b'143952-120-553 \n'"
"b'145003-117-550 \n'"
"b'146053-115-543 \n'"
"b'147103-117-547 \n'"
"b'148154-120-544 \n'"
"b'149204-119-542 \n'"
"b'150255-122-536 \n'"
"b'151306-119-541 \n'"
"b'152356-119-538 \n'"
"b'153406-124-541 \n'"
"b'154457-120-546 \n'"
"b'155507-120-543 \n'"
"b'156558-127-543 \n'"
"b'157608-122-537 \n'"
"b'158659-123-539 \n'"
"b'159710-123-541 \n'"
"b'160759-124-540 \n'"
"b'161810-119-541 \n'"
"b'162861-123-541 \n'"
"b'163911-124-540 \n'"
"b'164962-123-540 \n'"
"b'166012-124-546 \n'"
"b'167063-118-544 \n'"
"b'168113-126-551 \n'"
"b'169163-122-549 \n'"
"b'170214-122-545 \n'"
"b'171265-121-547 \n'"
"b'172315-125-537 \n'"
"b'173366-124-543 \n'"
"b'174416-125-544 \n'"
"b'175466-129-542 \n'"
"b'176517-124-533 \n'"
"b'177567-127-541 \n'"
"b'178618-124-531 \n'"
"b'179668-126-535 \n'"
"b'180719-122-538 \n'"
"b'181770-125-535 \n'"
"b'182819-127-541 \n'"
"b'183870-122-539 \n'"
"b'184921-114-538 \n'"
"b'185971-123-546 \n'"
"b'187022-120-544 \n'"
"b'188072-134-554 \n'"
"b'189123-124-554 \n'"
"b'190173-126-550 \n'"
"b'191223-124-555 \n'"
"b'192274-128-555 \n'"
"b'193325-123-556 \n'"
"b'194375-124-548 \n'"
"b'195426-122-553 \n'"
